Language Pair,Iterations,Original,Final,BLEU Score
en-fr,1,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Rajarshi, comment allez-vous aujourd'hui?",2.3594750978510907e-233
en-fr,2,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Rajarshi, how are you today?",0.035204773658314856
en-fr,3,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Rajarshi, comment allez-vous aujourd'hui?",2.3594750978510907e-233
en-fr,4,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Rajarshi, how are you today?",0.035204773658314856
en-fr,5,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Rajarshi, comment allez-vous aujourd'hui?",2.3594750978510907e-233
en-fr,6,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Rajarshi, how are you today?",0.035204773658314856
en-fr,7,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Rajarshi, comment allez-vous aujourd'hui?",2.3594750978510907e-233
en-fr,8,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Rajarshi, how are you today?",0.035204773658314856
en-fr,9,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Rajarshi, comment allez-vous aujourd'hui?",2.3594750978510907e-233
en-fr,10,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Rajarshi, how are you today?",0.035204773658314856
en-hi,1,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","अरे, राजाशी, आप आज कैसे कर रहे हैं? वेना कॉफी के बाद? आज बॉस ने हमें एक दिन दे दिया है.",0.0
en-hi,2,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Hey, kingy, how are you today? Wea're after coffee?",1.3502808454459172e-78
en-hi,3,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","अरे, राजा, आप कैसे आज कर रहे हैं? हम कॉफी के बाद कर रहे हैं?",0.0
en-hi,4,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Hey, king, how are you doing today?",0.10045554323637397
en-hi,5,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","अरे, राजा, आप आज कैसे कर रहे हैं?",0.0
en-hi,6,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Hey, king, how are you doing today?",0.10045554323637397
en-hi,7,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","अरे, राजा, आप आज कैसे कर रहे हैं?",0.0
en-hi,8,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Hey, king, how are you doing today?",0.10045554323637397
en-hi,9,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","अरे, राजा, आप आज कैसे कर रहे हैं?",0.0
en-hi,10,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Hey, king, how are you doing today?",0.10045554323637397
fr-de,1,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.",1.0
fr-de,2,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Hey, Rajarshi, how are you doing today? Wanna tombe some coffee later? Today Boss has given us a day off.",0.8578928092681435
fr-de,3,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Hey, Rajarshi, how are you doing today? Wanna fällt some coffee later? Today Boss has given us a day off.",0.8578928092681435
fr-de,4,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Hey, Rajarshi, how are you doing today? Wanna tombe some coffee later? Today Boss has given us a day off.",0.8578928092681435
fr-de,5,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Hey, Rajarshi, how are you doing today? Wanna fällt some coffee later? Today Boss has given us a day off.",0.8578928092681435
fr-de,6,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Hey, Rajarshi, how are you doing today? Wanna tombe some coffee later? Today Boss has given us a day off.",0.8578928092681435
fr-de,7,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Hey, Rajarshi, how are you doing today? Wanna fällt some coffee later? Today Boss has given us a day off.",0.8578928092681435
fr-de,8,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Hey, Rajarshi, how are you doing today? Wanna tombe some coffee later? Today Boss has given us a day off.",0.8578928092681435
fr-de,9,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Hey, Rajarshi, how are you doing today? Wanna fällt some coffee later? Today Boss has given us a day off.",0.8578928092681435
fr-de,10,"Hey, Rajarshi, how are you doing today? Wanna grab some coffee later? Today Boss has given us a day off.","Hey, Rajarshi, how are you doing today? Wanna tombe some coffee later? Today Boss has given us a day off.",0.8578928092681435
